Jim Lehrer just directed the debate audience ... 30 seconds ... #tweetdebate	^ ^ R V D N N , $ N , #	0.9979 0.9959 0.9992 0.9967 0.9997 0.9963 0.9881 0.9623 0.9930 0.9717 0.9633 0.9767	Jim Lehrer just directed the debate audience ... 30 seconds ... #tweetdebate
Introducing McCain and Obama . Wait ... McCain SHOWED UP ! Wow ... guess the crisis in Washington is over ? #tweetdebate	V ^ & ^ , V , ^ V T , ! , V D N P ^ V R , #	0.9863 0.9686 0.9979 0.9955 0.9938 0.9818 0.9282 0.9432 0.9990 0.8974 0.9978 0.9168 0.8430 0.9968 0.9990 0.9930 0.9985 0.9969 0.9988 0.3341 0.9947 0.9775	Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate
The moderator is almost as important as the debaters . #current #tweetdebate #debate08	D N V R R A P D N , # # #	0.9879 0.9996 0.9964 0.9934 0.8297 0.9976 0.9970 0.9987 0.9963 0.9983 0.9525 0.9956 0.9935	The moderator is almost as important as the debaters. #current #tweetdebate #debate08
I can't imagine McCaine beating Obama in a war of words . #tweetdebate	O V V ^ V ^ P D N P N , #	0.9976 0.9999 0.9994 0.8756 0.9880 0.9871 0.9815 0.9964 0.9996 0.9952 0.9464 0.9958 0.9863	I can't imagine McCaine beating Obama in a war of words. #tweetdebate
@mojosd refresh ?	@ V ,	0.9988 0.6497 0.9971	@mojosd refresh?
#tweetdebate #debate08 I'm helping make the audience global	# # L V V D N A	0.9596 0.9686 0.9954 0.9971 0.9686 0.9994 0.9868 0.9559	#tweetdebate #debate08 I'm helping make the audience global
#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so	# A R ^ V S N & V D A N P V P D N P V ^ P V R	0.8781 0.9894 0.9889 0.9854 0.9477 0.4532 0.9885 0.9971 0.9910 0.9984 0.9967 0.9988 0.9987 0.5952 0.9986 0.9990 0.9984 0.9586 0.9902 0.9197 0.9971 0.9776 0.6909	#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so
#tweetdebate Awesome first debate question	# A A N N	0.8774 0.9705 0.9680 0.9982 0.9579	#tweetdebate Awesome first debate question
#tweetdebate red tie obama	# A N ^	0.8722 0.9889 0.9610 0.6286	#tweetdebate red tie obama
Obama -2 it an occupation not war #tweetdebate	^ $ O D N R N #	0.9807 0.9360 0.9283 0.9916 0.9992 0.9870 0.9723 0.9457	Obama -2 it an occupation not war #tweetdebate
#tweetdebate i never knew what the symbol of the Dems was till 12 yrs ago	# O R V O D N P D ^ V P $ N R	0.9121 0.9813 0.9929 0.9899 0.9860 0.9991 0.9997 0.9995 0.9992 0.5485 0.9981 0.9015 0.9978 0.9931 0.8628	#tweetdebate i never knew what the symbol of the Dems was till 12 yrs ago
First question direct to the liver #tweetdebate	A N A P D N #	0.9792 0.9941 0.5734 0.9997 0.9996 0.9966 0.9578	First question direct to the liver #tweetdebate
Obama +1 for swift and wise #tweetdebate	^ $ P A & A #	0.9605 0.4904 0.9911 0.5158 0.9975 0.9836 0.9395	Obama +1 for swift and wise  #tweetdebate
@starweaver what happened ?	@ O V ,	0.9991 0.9898 0.9838 0.9979	@starweaver what happened?
" +1 for Obama "" Moving fast , moving swiftly "" #tweetdebate "	, $ P ^ , V A , V R , # ,	0.9717 0.5739 0.9987 0.9954 0.9821 0.9918 0.7485 0.9982 0.9740 0.9366 0.9808 0.9645 0.9893	"+1 for Obama ""Moving fast, moving swiftly"" #tweetdebate"
" @TDefren I'm very nervous , yes #tweetdebate "	, @ L R A , ! # ,	0.9203 0.9983 0.9953 0.9982 0.9989 0.9978 0.9722 0.9290 0.9926	"@TDefren  I'm very nervous, yes #tweetdebate"
#tweetdebate no golden parachutes no padding CEOs - Obama	# D A N D N N , ^	0.8710 0.7541 0.5251 0.9986 0.8529 0.9961 0.9970 0.9065 0.9679	#tweetdebate no golden parachutes no padding CEOs - Obama
Obama looks good . #tweetdebate #current	^ V A , # #	0.9849 0.9937 0.9918 0.9972 0.9688 0.9930	Obama looks good. #tweetdebate #current
+1 for Obama having 4 clear objectives to his plan #tweetdebate	$ P ^ V $ A N P D N #	0.5115 0.9992 0.9987 0.9983 0.4873 0.9952 0.9966 0.9995 0.9962 0.9771 0.9545	+1 for Obama having 4 clear objectives to his plan #tweetdebate
Looking forward to the twitter storm taking place tonight . #tweetdebate	V R P D ^ N V N N , #	0.9967 0.8466 0.9990 0.9986 0.9928 0.9321 0.9886 0.9845 0.7077 0.9975 0.9866	Looking forward to the twitter storm taking place tonight. #tweetdebate
@LuciaZephyr Link please ?	@ N V ,	0.9986 0.6729 0.9099 0.9982	@LuciaZephyr Link please?
""" Obama +1 for articulating his plans - initial & recognition #tweetdebate """	, ^ $ P V D N , A & N # ,	0.7245 0.9818 0.4849 0.9975 0.8274 0.9991 0.9900 0.9494 0.9379 0.9956 0.9966 0.9222 0.8215	""" Obama +1 for articulating his plans - initial & recognition #tweetdebate"""
Q for Obama . Does the avg American know what a golden parachute is ? #tweetdebate	N P ^ , V D ^ ^ V O D A N V , #	0.5775 0.9995 0.9985 0.9923 0.9995 0.9981 0.4670 0.9880 0.9055 0.9636 0.9890 0.9371 0.9997 0.9945 0.9959 0.9806	Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate
Obama +1 on taxpayer protection and fair shake #tweetdebate	^ $ P N N & A N #	0.9605 0.5038 0.9749 0.9776 0.9993 0.9977 0.4296 0.9500 0.9254	Obama +1 on taxpayer protection and fair shake #tweetdebate
Obama +1 #tweetdebate	^ , #	0.9397 0.2440 0.9671	Obama +1 #tweetdebate
#tweetdebate +3 to Obama - the failed economy is because of the last 8 years of Bush and McCain's support for those policies	# $ P ^ , D A N V P P D A $ N P ^ & Z N P D N	0.8559 0.9841 0.9970 0.9957 0.8734 0.9955 0.9560 0.9967 0.9980 0.9815 0.9959 0.9996 0.9943 0.9971 0.9990 0.9996 0.9987 0.9982 0.5328 0.5104 0.9999 0.9600 0.9984	#tweetdebate +3 to Obama - the failed economy is because of the last 8 years of Bush and McCain's support for those policies
McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current	^ R V D A N P ^ ^ $ # #	0.8741 0.9976 0.9995 0.9976 0.9761 0.9513 0.9992 0.9678 0.9997 0.9516 0.9264 0.9936	McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current
@current current channel reception is continually sucking . Gotta love comcast	@ A N N V R V , V V ^	0.9993 0.9799 0.9623 0.9996 0.9949 0.9994 0.9701 0.9987 0.9502 0.9769 0.8770	@current current channel reception is continually sucking. Gotta love comcast
McCain -3 for Kenndey comment #tweetdebate	^ $ P ^ V #	0.9397 0.9867 0.9976 0.9551 0.8572 0.9089	McCain -3 for Kenndey comment #tweetdebate
McCain -2 for not knowing Kennedy is home and watching the debate #tweetdebate	^ $ P R V ^ V N & V D N #	0.9397 0.9884 0.9955 0.9933 0.9644 0.9991 0.9980 0.6514 0.9982 0.9997 0.9996 0.9992 0.9593	McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate
Can you see this ? #tweetdebate	V O V D , #	0.9989 0.9988 0.9995 0.6059 0.9952 0.9753	Can you see this? #tweetdebate
McCain +1 for plugging Kennedy #tweetdebate	^ $ P V ^ #	0.8670 0.5406 0.9972 0.9890 0.9945 0.9277	McCain +1 for plugging Kennedy #tweetdebate
#tweetdebate McCain starts awkwardly	# ^ V R	0.9017 0.9316 0.9405 0.9981	#tweetdebate McCain starts awkwardly
-1 McCain for stalling with faux sympathy #tweetdebate	$ ^ P V P A N #	0.9448 0.9543 0.9983 0.9992 0.9951 0.9249 0.9990 0.9495	-1 McCain for stalling with faux sympathy #tweetdebate
+1 to Obama for trashing of the trickle down #tweetdebate	$ P ^ P V P D N P #	0.3461 0.9967 0.9966 0.9984 0.9633 0.9961 0.9910 0.5831 0.4792 0.9060	+1 to Obama for trashing of the trickle down #tweetdebate
@andrewa121 I only get OTA HD with my EyeTV 500 .	@ O R V ^ ^ P D ^ $ ,	0.9995 0.9970 0.9366 0.9968 0.8228 0.9045 0.9994 0.9962 0.6140 0.9865 0.9978	@andrewa121 I only get OTA HD with my EyeTV 500.
McCain +1 Kennedy comment #tweetdebate	^ ^ ^ V #	0.8670 0.3400 0.9999 0.5877 0.9203	McCain +1 Kennedy comment #tweetdebate
#tweetdebate	#	0.9641	#tweetdebate
McCain is talking about bipartisan negotiation ? Uh ... no ... -1 pt . #tweetdebate #current	^ V V P A N , G , ! , $ N , # #	0.9517 0.9979 0.9665 0.8815 0.9506 0.9998 0.9981 0.6876 0.7418 0.8126 0.9736 0.9692 0.9800 0.9990 0.9741 0.9949	McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current
@current McCain looks so tired !! wayyyy past his bedtime #current	@ ^ V R A , R A D N #	0.9987 0.9720 0.9833 0.7091 0.9821 0.9937 0.6123 0.8094 0.9953 0.9914 0.8872	@current McCain looks so tired!! wayyyy past his bedtime #current
@kgs @CSPAN -2 :)	@ @ $ E	0.9988 0.9969 0.9566 0.9955	@kgs @CSPAN-2 :)
Obama +1 for bullet pointing his bailout policy clearly #tweetdebate	^ $ P N V D N N R #	0.9605 0.4904 0.9957 0.9362 0.9988 0.9987 0.9858 0.9983 0.9963 0.9010	Obama +1 for bullet pointing his bailout policy clearly #tweetdebate
Obama +2 for specifics #tweetdebate	^ $ P N #	0.9807 0.9885 0.9957 0.9944 0.9410	Obama +2 for specifics #tweetdebate
" dear john , they were sitting down till you came and stirred up a hornets ' nest . pulease -4 #tweetdebate "	, N ^ , O V V T P O V & V T D N , N , V $ # ,	0.9846 0.3879 0.9837 0.9977 0.9892 0.9979 0.9965 0.6394 0.9964 0.9997 0.9879 0.9963 0.9981 0.9459 0.9963 0.7250 0.9842 0.9955 0.9987 0.7753 0.9680 0.8831 0.9847	"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate"
@andrewa121 He looks and sounds pretty tired .	@ O V & V R A ,	0.9991 0.9904 0.9965 0.9962 0.9158 0.9876 0.9938 0.9985	@andrewa121 He looks and sounds pretty tired.
+1 Obama #tweetdebate	$ ^ #	0.2487 0.9746 0.9128	+1 Obama #tweetdebate
@current Or its the beginning of the end of the beginning of the end .. Sheesh .	@ & L D N P D N P D N P D N , ! ,	0.9986 0.9941 0.9911 0.9939 0.9889 0.9995 0.9985 0.9973 0.9994 0.9982 0.9889 0.9995 0.9985 0.9910 0.9966 0.9442 0.9961	@current Or its the beginning of the end of the beginning of the end.. Sheesh.
McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate	^ $ P D R V N P O D N V V #	0.9397 0.9884 0.9993 0.9889 0.9931 0.6951 0.6574 0.9878 0.9900 0.9986 0.8418 0.9952 0.9892 0.8498	McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate
+1 for mcCain #tweetdebate	$ P ^ #	0.5115 0.9990 0.9682 0.9501	+1 for mcCain #tweetdebate
1st impressions : Obama has come across as more presidential and articulate . #tweetdebate	A N , ^ V V P R R A & A , #	0.7826 0.9996 0.9005 0.9970 0.9937 0.9913 0.9599 0.5967 0.7089 0.9829 0.9972 0.9030 0.9966 0.9885	1st impressions: Obama has come across as more presidential and articulate. #tweetdebate
McCain : this is the end of the beginning . huh ? #tweetdebate	^ , O V D N P D N , ! , #	0.9271 0.9645 0.9266 0.9987 0.9984 0.9973 0.9994 0.9982 0.9865 0.9994 0.9676 0.9955 0.9756	McCain: this is the end of the beginning. huh? #tweetdebate
McCain -2 gving credit to house republicans #tweetdebate	^ $ V N P N N #	0.9397 0.9746 0.6895 0.9664 0.9986 0.4372 0.8549 0.9442	McCain -2 gving credit to house republicans #tweetdebate
" +Obama for giving a clear concise answer to the first question #tweetdebate "	, ^ P V D A A N P D A N # ,	0.9784 0.9563 0.9976 0.9984 0.9944 0.9869 0.7918 0.9807 0.9995 0.9994 0.9896 0.9987 0.9050 0.9950	"+Obama for giving a clear concise answer to the first question #tweetdebate"
-1 McCain all over the place in his answer #tweetdebate	$ ^ D P D N P D N #	0.9448 0.9008 0.6886 0.9751 0.9995 0.9969 0.9987 0.9945 0.9928 0.9550	-1 McCain all over the place in his answer #tweetdebate
+1 for Lehrer for calling them both back on track re : recovery plan #tweetdebate	$ P ^ P V D O R P N N , N N #	0.5115 0.9979 0.9976 0.9976 0.9998 0.5167 0.3677 0.7421 0.9770 0.9790 0.9803 0.9360 0.9918 0.8750 0.9623	+1 for Lehrer for calling them both back on track re: recovery plan #tweetdebate
" Nice , McLame divides ... Republicans uniquely came to fix it . Um , ok . #tweetdebate "	, A , ^ V , N R V P V O , ! , ! , # ,	0.9875 0.6286 0.9952 0.9700 0.9966 0.9699 0.7374 0.9923 0.9728 0.9857 0.9997 0.9887 0.9990 0.9149 0.9971 0.8817 0.9958 0.9505 0.9905	"Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate"
" if ur oldest candidate in history , why start with "" i'm not feeling great "" .. makes u thing "" you're not looking great either #tweetdebate "	, P D A N P N , R V P , L R V A , , V O N , L R V A & # ,	0.9925 0.9796 0.5864 0.9996 0.9995 0.9945 0.9929 0.9981 0.9591 0.9840 0.9847 0.9863 0.9970 0.9931 0.9955 0.9954 0.9757 0.9783 0.9959 0.9486 0.8743 0.9809 0.9943 0.9988 0.9946 0.9619 0.4470 0.9007 0.9832	"if ur oldest candidate in history, why start with ""i'm not feeling great"" .. makes u thing ""you're not looking great either #tweetdebate"
" McCain : "" It's not the beginning of the end of this crisis ... it's the end of the beginning "" . What ?!?! -1 pt . #tweetdebate #current "	, ^ , , L R D N P D N P D N , L D N P D N , , O , $ N , # # ,	0.9819 0.9686 0.7497 0.9611 0.9983 0.9914 0.9967 0.9889 0.9995 0.9985 0.9973 0.9989 0.9748 0.9935 0.9795 0.9967 0.9983 0.9973 0.9994 0.9982 0.9683 0.9932 0.9960 0.9770 0.9566 0.9723 0.9800 0.9982 0.9673 0.9830 0.9918	"McCain: ""It's not the beginning of the end of this crisis...it's the end of the beginning"". What?!?! -1 pt. #tweetdebate #current"
@jowyang #tweetdebate +1 for Obama too for clear objectives but both are still not that clear where they stand .	@ # $ P ^ R P A N & O V R R O A R O V ,	0.9990 0.9495 0.5825 0.9991 0.9914 0.9690 0.9752 0.9962 0.9910 0.9819 0.7796 0.9942 0.9947 0.9982 0.4540 0.7931 0.9720 0.9890 0.9338 0.9977	@jowyang #tweetdebate +1 for Obama too for clear objectives but both are still not that clear where they stand.
A silent audience is odd . Wonder how it is for McCain & Obama ? #tweetdebate	D A N V A , V R O V P ^ & ^ , #	0.9880 0.9976 0.9984 0.9963 0.9862 0.9983 0.4496 0.9886 0.9995 0.9998 0.9981 0.9881 0.9912 0.9967 0.9945 0.9806	A silent audience is odd. Wonder how it is for McCain & Obama? #tweetdebate
Obama -1 for answering a different question #tweetdebate	^ $ P V D A N #	0.9740 0.9804 0.9984 0.9989 0.9983 0.9943 0.9985 0.9580	Obama -1 for answering a different question #tweetdebate
I <3 lehrer #tweetdebate great move of repeating question	O E ^ # A N P V N	0.9943 0.7890 0.7075 0.8075 0.9923 0.9928 0.9936 0.8852 0.9882	I <3 lehrer #tweetdebate great move of repeating question
McCain -1 for bringing in Kennedy for emotional effect #tweetdebate	^ $ P V P ^ P A N #	0.9200 0.9831 0.9984 0.9977 0.9453 0.9994 0.9934 0.9822 0.9923 0.9578	McCain -1 for bringing in Kennedy for emotional effect #tweetdebate
#tweetdebate greed is how we got into this situation in the first place	# N V R O V P D N P D A N	0.8372 0.9616 0.9967 0.9890 0.9992 0.9997 0.9922 0.9760 0.9996 0.9990 0.9996 0.9946 0.9969	#tweetdebate greed is how we got into this situation in the first place
" +1 for Jim Lehrer for being a great moderator , everyone drink ! #tweetdebate "	, $ P ^ ^ P V D A N , N V , # ,	0.9717 0.5739 0.9975 0.9996 0.9990 0.9978 0.9987 0.9967 0.9983 0.9996 0.9987 0.9873 0.4988 0.9981 0.9837 0.9931	"+1 for Jim Lehrer for being a great moderator, everyone drink! #tweetdebate"
@current why isn't my stuff showing up on tv ?! #current	@ R V D N V T P N , #	0.9992 0.8704 0.9994 0.9980 0.9979 0.9995 0.9622 0.9860 0.9750 0.9918 0.9534	@current why isn't my stuff showing up on tv?! #current
Kennedy is in hospital brought up by McCain #current #tweetdebate	^ V P N V T P ^ # #	0.9977 0.9990 0.9716 0.9690 0.9976 0.9712 0.9981 0.9876 0.9318 0.9960	Kennedy is in hospital brought up by McCain #current #tweetdebate
Just started watching the debate . Got home a few mins late . Got to get #current and then #tweetdebate	R V V D N , V N D A N A , V P V A & R #	0.9988 0.9953 0.9991 0.9996 0.9997 0.9972 0.9935 0.7814 0.9887 0.8933 0.9453 0.8957 0.9969 0.9960 0.9878 0.9993 0.7481 0.9981 0.9860 0.8951	Just started watching the debate. Got home a few mins late. Got to get #current and then #tweetdebate
Now Trending : #tweetdebate http://tinyurl.com/4h7xsp	R V , # U	0.9952 0.9930 0.9428 0.9487 0.9986	Now Trending: #tweetdebate http://tinyurl.com/4h7xsp
" McCain -2 "" Are you gonna vote for the plan ? "" - "" I hope so "" whatte fuck ?! #tweetdebate "	, ^ $ , V O V V P D N , , , , O V R , O V , # ,	0.9819 0.9666 0.9702 0.9914 0.9994 0.9996 0.9996 0.9929 0.9991 0.9993 0.9779 0.9969 0.5751 0.8028 0.9701 0.9949 0.9970 0.5806 0.9378 0.3574 0.8615 0.9876 0.9585 0.9860	"McCain -2 ""Are you gonna vote for the plan?"" - ""I hope so"" whatte fuck?! #tweetdebate"
McCain -1 for failing to meaningfully answer the question on economy #tweetdebate	^ $ P V P R V D N P N #	0.9200 0.9831 0.9981 0.9846 0.8938 0.6928 0.8999 0.9995 0.9985 0.9970 0.9743 0.9459	McCain -1 for failing to meaningfully answer the question on economy #tweetdebate
+2 for Obama making eye contact with the camera #tweetdebate	$ P ^ V N V P D N #	0.9893 0.9995 0.9990 0.9956 0.9926 0.6518 0.9993 0.9995 0.9935 0.9584	+2 for Obama making eye contact with the camera #tweetdebate
McCain -1 improper analogy #tweetdebate	^ $ A N #	0.9200 0.9760 0.9614 0.9993 0.9603	McCain -1 improper analogy #tweetdebate
Obama +1 for equating Republicans with anti-regulation #tweetdebate	^ $ P V N P N #	0.9605 0.4904 0.9972 0.9906 0.8114 0.9988 0.7120 0.8814	Obama +1 for equating Republicans with anti-regulation #tweetdebate
Obama -1 for not understanding economic regulation in America . #tweetdebate	^ $ P R V A N P ^ , #	0.9740 0.9804 0.9960 0.8881 0.9624 0.9414 0.9998 0.9988 0.9963 0.9931 0.9866	Obama -1 for not understanding economic regulation in America. #tweetdebate
Web analyst @jowyang post on how to be an armchair political analyst http://tinyurl.com/3jdy67 #tweetdebate	^ N @ N P R P V D N A N U #	0.6670 0.8929 0.9972 0.6705 0.9886 0.9876 0.9939 0.9998 0.9696 0.9207 0.8795 0.9990 0.9973 0.9890	Web analyst @jowyang post on how to be an armchair political analyst http://tinyurl.com/3jdy67  #tweetdebate
Obama +1 pt : We need more responsibility but not just during a crisis . #tweetdebate	^ $ N , O V A N & R R P D N , #	0.9605 0.2875 0.9701 0.9858 0.9956 0.9937 0.9127 0.9974 0.9872 0.9992 0.9999 0.9542 0.9971 0.9979 0.9967 0.9890	Obama +1 pt: We need more responsibility but not just during a crisis. #tweetdebate
" @downsokc if you remember , also include #current http://current.com/ "	, @ P O V , R V # U ,	0.9203 0.9968 0.9974 0.9998 0.9967 0.9981 0.9915 0.9922 0.6378 0.9963 0.9891	"@downsokc  if you remember, also include #current  http://current.com/"
#tweetdebate 21st century framework- I like that and it resonates with me as a future minded strategist & leader @barrackobama	# A N N O V O & O V P O P D A A N & N @	0.8693 0.9908 0.9987 0.9850 0.9468 0.9190 0.9393 0.9977 0.9974 0.9995 0.9989 0.9987 0.8697 0.9958 0.4952 0.5305 0.9985 0.9948 0.9727 0.9974	#tweetdebate 21st century framework- I like that and it resonates with me as a future minded strategist & leader @barrackobama
@current is the live stream on http://tinyurl.com/64edyb working ?	@ V D A N P U V ,	0.9980 0.9988 0.9902 0.9370 0.9828 0.9914 0.9977 0.9833 0.9982	@current is the live stream on http://tinyurl.com/64edyb working?
@kellyrfeller Looks like @jowyang is using #tweetdebate for the hashtag .	@ V P @ V V ^ P D N ,	0.9989 0.9931 0.9613 0.9935 0.9971 0.9392 0.3331 0.9998 0.9989 0.9716 0.9990	@kellyrfeller  Looks like @jowyang is using #tweetdebate for the hashtag.
" #tweetdebate -1 McCain "" we saw these problems coming "" I thought the economy was fundamentally sound "	, # $ ^ , O V D N V , O V D N V R V ,	0.9743 0.8881 0.9654 0.8791 0.9814 0.9959 0.9997 0.9910 0.9976 0.9967 0.9904 0.9980 0.9997 0.9991 0.9768 0.9811 0.9955 0.5137 0.9943	"#tweetdebate -1 McCain ""we saw these problems coming"" I thought the economy was fundamentally sound"
mccain +1 for having a sense of humor ( he heard him ) #tweetdebate	^ $ P V D N P N , O V O , #	0.8642 0.4918 0.9974 0.9994 0.9983 0.9969 0.9981 0.9958 0.9829 0.9960 1.0000 0.9893 0.9754 0.9790	mccain +1 for having a sense of humor (he heard him) #tweetdebate
Already tired of the Wall Street v Main Street analogies . #tweetdebate	R A P D ^ ^ ^ ^ ^ N , #	0.9975 0.8492 0.9989 0.9980 0.8443 0.9793 0.6386 0.9185 0.9553 0.9771 0.9980 0.9877	Already tired of the Wall Street v Main Street analogies. #tweetdebate
how annoying are these animations on #Current TV .. reverting to old fashion MSNBC .. #tweetdebate	R A V D N P ^ ^ , V P A N N , #	0.9969 0.9560 0.8828 0.9411 0.9889 0.9855 0.4386 0.7775 0.9934 0.9288 0.9684 0.9801 0.9063 0.5531 0.9871 0.9811	how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate
Obama +3 for wanting responsibility all the time #tweetdebate	^ $ P V N X D N #	0.9807 0.9860 0.9978 0.9696 0.9441 0.6158 0.9998 0.9982 0.9467	Obama +3 for wanting responsibility all the time #tweetdebate
" Obama : +2 for saying "" we need responsibility all the time , not just during a crisis "" #tweetdebate "	, ^ , $ P V , O V N X D N , R R P D N , # ,	0.9784 0.9955 0.8762 0.9878 0.9975 0.9845 0.9905 0.9961 0.9957 0.9791 0.6158 0.9998 0.9982 0.9983 0.9964 0.9999 0.9542 0.9971 0.9973 0.9666 0.9623 0.9889	"Obama: +2 for saying ""we need responsibility all the time, not just during a crisis"" #tweetdebate"
" @current #current How can you say "" I hope so "" when you are asked the question of voting for something ? You should know what yer view is ! "	, @ # R V O V , O V R , R O V V D N P V P N , O V V O D N V , ,	0.9203 0.9984 0.8206 0.9881 0.9993 0.9994 0.9964 0.9881 0.9949 0.9970 0.5806 0.9885 0.9886 0.9986 0.9992 0.9855 0.9994 0.9996 0.9967 0.9906 0.9962 0.9951 0.9972 0.9989 0.9994 0.9990 0.9906 0.7465 0.9947 0.9951 0.9976 0.9850	"@current #current How can you say ""I hope so"" when you are asked the question of voting for something? You should know what yer view is!"
Obama +1 for calling Mccain out on his history against oversight #tweetdebate	^ $ P V ^ T P D N P N #	0.9605 0.4904 0.9972 0.9934 0.8591 0.6135 0.9975 0.9987 0.9979 0.9988 0.9918 0.9453	Obama +1 for calling Mccain out on his history against oversight #tweetdebate
""" John , ten days ago you said the fundamentals of the economy were strong "" Hilarious #tweetdebate #current "	, ^ , $ N R O V D N P D N V A , A # # ,	0.7409 0.9996 0.9777 0.9228 0.9951 0.5387 0.9992 0.9997 0.9982 0.9987 0.9995 0.9993 0.9812 0.9639 0.9951 0.9908 0.9613 0.9130 0.9848 0.9889	"""John, ten days ago you said the fundamentals of the economy were strong"" Hilarious #tweetdebate #current"
